nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000216895.9,-0.221007292,NA,-0.007097109,-0.014273061,0.033374782,0.76285941,NA,0.900881466,0.850654169,0.500312997,0.500196667,1,0.727813274
ENSG00000184863.10,-0.137730409,-7.399695664,0.021915336,-0.016662123,0.014977065,0.444174418,2.08E-13,0.05442927,0.228349439,0.220149651,0.22122216,0,0.573385982
ENSG00000105982.16,0.381123307,NA,-0.028571433,0.087841071,-0.015650735,0.582436693,NA,0.524665757,0.041329986,0.744008659,0.743983485,1,0.793524878
ENSG00000105983.20,0.925512522,-4.501995548,-0.137630872,0.009809872,-0.04368022,0.121455369,1.44E-25,0.182055392,0.724247213,0.2824168,0.284595567,0,0.622560789
ENSG00000106443.15,0.90504454,-5.921839896,-0.15150724,-0.175371802,-0.044843183,0.254868805,0.023218103,0.069425886,0.073448006,0.388180046,0.388261978,0,0.682548538
ENSG00000146909.7,-0.614336539,NA,0.097019743,-0.02478416,0.026334743,0.369442072,NA,0.039176615,0.808978268,0.561762997,0.56167413,1,0.745814565
ENSG00000009335.17,-0.385980032,-6.696740563,-0.003360485,-0.002681009,0.020596673,0.217965345,1.37E-06,0.893404163,0.899684288,0.327661248,0.32766156,0,0.649450767
ENSG00000105993.14,-0.298880925,-3.652061852,0.077840243,-0.024690976,0.031134431,0.493087972,1.96E-121,0.004316364,0.399870806,0.290087435,0.290081932,0,0.627472476
ENSG00000155093.17,2.27333924,-2.058795247,-0.060710462,0.034319842,-0.135687349,0.035079283,1.39E-35,0.414319826,0.543501599,0.063687434,0.060571158,0,0.350263203
ENSG00000233038.5,-0.918043868,-3.867351776,-0.024710487,0.046177201,0.043265586,0.060619096,5.18E-56,0.414610403,0.444647491,0.196625335,0.198633025,0,0.558498411
ENSG00000117868.15,-0.680825909,-5.879618492,0.023315252,-0.016675938,0.032622644,3.54E-05,1.52E-210,0.018285686,0.039986641,0.00285945,0.003171266,0,0.067637263
ENSG00000126870.15,0.936605129,NA,0.037874901,0.010684359,-0.047299858,0.345428511,NA,0.442407643,0.869779034,0.464575635,0.464298597,1,0.713544974
ENSG00000164818.15,0.3411084,-6.065710411,-0.005893701,0.020873833,-0.034020389,0.555136404,0.001256112,0.839423228,0.521305079,0.370458528,0.371356114,0,0.675671533
ENSG00000106460.18,-1.556508525,-4.655531123,0.030173313,0.040244293,0.091518407,2.97E-08,5.10E-97,0.19766634,0.030179652,1.43E-06,2.68E-06,0,0.00029628
ENSG00000122644.12,0.462480783,-5.161313902,0.053419789,0.019698039,-0.020642654,0.250946217,1.10E-25,0.028058641,0.431063543,0.450882265,0.452094711,0,0.708855172
ENSG00000106524.8,-1.211969861,-5.959038229,-0.01955799,-0.042664944,0.088965434,0.039284609,0.000435117,0.618138156,0.117846151,0.022659419,0.024227786,0,0.22717873
ENSG00000136261.14,0.061898793,NA,0.086643753,-0.267255089,0.00659381,0.955693781,NA,0.200617152,0.668346182,0.928673719,0.92867484,1,0.829118176
ENSG00000106537.7,-2.826120568,NA,0.060853667,-1.277125683,0.17279135,0.030995051,NA,0.458766037,0.049769274,0.045271582,0.044358798,1,0.309489935
