nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000065491.8,0.644250186,-6.256069457,0.02264852,0.007296236,-0.022707573,0.191318532,4.56E-09,0.174546903,0.691862624,0.296184515,0.298508483,0,0.530143177
ENSG00000112130.16,7.406583095,-4.687037395,0.508620882,0.035770434,-0.327050664,0.023278103,0.038509541,0.018666381,0.943412584,0.022908602,0.030649461,0,0.202775946
ENSG00000137200.12,-0.077425497,NA,-0.001572951,-0.019199922,0.007094573,0.854845315,NA,0.931007777,0.277662334,0.701131946,0.701134189,1,0.676428538
ENSG00000198937.8,-0.583897335,-6.240934607,0.01254894,-0.038852163,0.019544645,0.363404867,0.000178494,0.689794859,0.272374665,0.490858779,0.49406158,0,0.611503004
ENSG00000112139.14,3.282598547,-0.081956345,0.223713543,-0.195224838,-0.060510698,0.397946677,0.696895261,0.147081576,0.311429575,0.720935881,0.712891399,0,0.679241004
ENSG00000156639.11,-0.25367495,-6.41860429,0.035177982,0.014456681,0.008885122,0.35895057,4.24E-54,0.109448466,0.408080946,0.468061106,0.468108671,0,0.603998095
ENSG00000183826.16,0.933041607,-4.462912295,0.027161499,0.036449937,-0.036598617,0.061587783,2.93E-75,0.212030033,0.185862198,0.097613703,0.099380858,0,0.349941526
ENSG00000124767.6,0.347289738,-7.194730826,0.050339033,-0.001446082,-0.009247976,0.39275291,6.78E-05,0.002797229,0.936136383,0.603843005,0.60473848,0,0.648684976
ENSG00000112167.9,-2.293525132,NA,0.069127687,-0.004629901,0.113646791,0.086750172,NA,0.359796371,0.955428733,0.054303703,0.053997776,1,0.263621201
ENSG00000168566.12,-1.059607802,-5.487890458,-0.023374077,-0.0006835,0.040957957,0.052530317,7.97E-17,0.271029808,0.98154343,0.09179922,0.093277954,0,0.339085349
ENSG00000164626.8,3.244975985,-2.911049905,-0.388898514,1.182136164,-0.134109051,0.351515488,3.70E-08,0.322714137,0.451319343,0.36827499,0.374021584,0,0.569250465
ENSG00000146122.16,4.425735249,-2.098726268,0.041285107,-0.178010468,-0.207030282,0.188494245,3.01E-14,0.702023356,0.007773435,0.165532547,0.173656794,0,0.434088604
ENSG00000235033.7,1.009629311,-4.42520829,0.036023672,0.087871118,-0.057396759,0.582454575,3.18E-11,0.47788306,0.085360257,0.486828689,0.49221693,0,0.611427891
